"FundingOrgName","ProjectReference","LeadROName","Department","ProjectCategory","PISurname","PIFirstName","PIOtherNames","PI ORCID iD","StudentSurname","StudentFirstName","StudentOtherNames","Student ORCID iD","Title","StartDate","EndDate","AwardPounds","ExpenditurePounds","Region","Status","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId","School","College"
"ESRC","RES-073-27-0027","University of Edinburgh","Business School","Fellowship","Lavric","Lucia",NA,NA,NA,NA,NA,NA,"Sectoral analysis of the role of border adjustment mechanism in reducing greenhouse gas emissions","12/09/2010","30/10/2010",76701,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=RES-073-27-0027","1307C167-EB70-4EE5-92BB-5C5D73C58D44","924BE15C-91F2-4AAD-941A-3F338324B6AE","2DB7ED73-8E89-457A-A395-FAC12F929C1A","07D5CEA8-EDC7-4C1A-9EC9-71CCCF4CF2F8","Business School","College of Arts, Humanities & Social Sciences"
"NERC","NE/J019720/1","University of Edinburgh","Sch of Geosciences","Research Grant","Patenaude","Genevieve",NA,NA,NA,NA,NA,NA,"Case studies for the development of a forest-specific risk toolbox for investment","21/10/2013","20/04/2015",100502,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/J019720/1","A0E16A48-97BE-4DBC-98AF-71BBA2ADF50A","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","D0B0A976-3651-4CBC-8603-F77621F6066A","School of Geosciences","College of Science and Engineering"
"NERC","NE/F016395/1","University of Edinburgh","Sch of Geosciences","Research Grant","Boulton","Geoffrey","Stuart",NA,NA,NA,NA,NA,"Hydraulics &amp; sediment deformation beneath an ice stream: a multi-component geophysical AVO investigation","30/04/2009","10/10/2013",232202,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/F016395/1","9C07B10F-46CA-4996-83F7-91DD7EE981E6","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","10DCBA13-9F09-4DA8-8B1D-911438E30B8D","School of Geosciences","College of Science and Engineering"
"NERC","NE/D012538/1","University of Edinburgh","Sch of Geosciences","Research Grant","Stevenson","David",NA,NA,NA,NA,NA,NA,"Transport processes and ozone budgets in the upper troposphere- a synthesis of EOS MLS measurements and chemistry transport model studies","31/07/2006","30/05/2011",285992,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/D012538/1","DFB39A97-E888-4E36-AD13-D6828D2EFFE0","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","5074121F-D888-45EC-AD1F-C0D582521001","School of Geosciences","College of Science and Engineering"
"AHRC","AH/W006502/1","University of Edinburgh","Roslin Institute","Research Grant","Boden","Lisa Anne",NA,NA,NA,NA,NA,NA,"FIELD SONGS - How can Syrian refugees' intangible cultural heritage inform innovative approaches to sustainable development in the Middle East?","01/11/2021","31/10/2022",123764,NA,"Scotland","Active","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/W006502/1","2F6D4207-B8E5-4893-A54A-4DC2ED2F7086","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","2DB7ED73-8E89-457A-A395-FAC12F929C1A","EF416616-4027-40A2-9556-E612255BEC20","Royal (Dick) School of Veterinary Science","College of Medicine & Veterinary Medicine"
"NERC","NE/I011749/1","University of Edinburgh","Sch of Geosciences","Research Grant","Mencuccini","Maurizio",NA,NA,NA,NA,NA,NA,"Perilous life at the xeric edge: drought-induced tree mortality in the Mediterranean","31/07/2011","31/10/2015",417714,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/I011749/1","AB02E90C-7DE3-4CAA-9E68-96197B031029","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","FB0B2BC3-CB97-4DCD-92BB-C8CA26FFBE6C","School of Geosciences","College of Science and Engineering"
"EPSRC","EP/P007236/1","University of Edinburgh","Sch of Engineering","Research Grant","Sweatman","Martin","Brian",NA,NA,NA,NA,NA,"Enabling manufacturing of Functional Nanomaterials using SynBio","01/12/2016","29/06/2021",528488,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/P007236/1","CA3CD6B4-9897-495A-82DC-18A22106A420","798CB33D-C79E-4578-83F2-72606407192C","2DB7ED73-8E89-457A-A395-FAC12F929C1A","B54FF3E0-3655-4BD8-98D7-AADC1CEDDB4F","School of Engineering","College of Science and Engineering"
"AHRC","AH/W008912/1","University of Edinburgh","Sch of Health in Social Science","Research Grant","de Andrade","Marisa",NA,"http://orcid.org/0000-0001-9164-2524",NA,NA,NA,NA,"Active Communities Arts Development: Social Prescribing, Sustainable Strategic Planning And Breaking Down Barriers Across Sectors In North Lanarkshire","10/01/2022","09/01/2023",100800,NA,"Scotland","Active","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/W008912/1","CAC6EDAB-4B9A-4EFA-BAA5-7E1F2BAF25D9","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","2DB7ED73-8E89-457A-A395-FAC12F929C1A","5DA892F1-18BB-4696-8821-477935ECC446","School of Health in Social Science","College of Arts, Humanities & Social Sciences"
"BBSRC","BB/L011506/1","University of Edinburgh","Sch of Biological Sciences","Research Grant","Rosser","Susan","Jane",NA,NA,NA,NA,NA,"NITROPLAST: A LIGHT-DRIVEN, SYNTHETIC NITROGEN-FIXING ORGANELLE","01/11/2013","29/09/2017",808572,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/L011506/1","5C5EAF1C-FE55-4290-A51D-FD1B3170A1D2","2512EF1C-401B-4222-9869-A770D4C5FAC7","2DB7ED73-8E89-457A-A395-FAC12F929C1A","0BF12FB6-EEAD-4536-BC76-BA5D67259245","School of Biological Sciences","College of Science and Engineering"
"ESRC","ES/M000834/1","University of Edinburgh","Sch of Social and Political Science","Research Grant","Marsland","Rebecca",NA,NA,NA,NA,NA,NA,"Beelines","31/08/2014","30/08/2016",186085,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=ES/M000834/1","12A0E1A0-D0EC-4C84-A9D1-129CA5EE51E9","924BE15C-91F2-4AAD-941A-3F338324B6AE","2DB7ED73-8E89-457A-A395-FAC12F929C1A","545D3041-8FF6-4BB9-BCFE-7DC5ED222EA8","School of Social and Political Science","College of Arts, Humanities & Social Sciences"
"NERC","NE/I012133/1","University of Edinburgh","Sch of Geosciences","Research Grant","Thordarson","Thor",NA,"http://orcid.org/0000-0003-4011-7185",NA,NA,NA,NA,"Reconstructing magma storage and transport prior to giant Icelandic fissure eruptions","31/08/2011","30/08/2013",15443,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/I012133/1","15B43663-2050-443F-9C6F-3EE612A3BA4B","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","811B68A1-D49C-4649-8C83-D093EE15A2AA","School of Geosciences","College of Science and Engineering"
"BBSRC","BB/M012808/1","University of Edinburgh","The Roslin Institute","Research Grant","Morrison","Liam","James","http://orcid.org/0000-0002-8304-9066",NA,NA,NA,NA,"Host factors in determining resistance to cryptosporidiosis in cattle.","31/08/2015","28/02/2019",405590,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/M012808/1","71796970-22A0-4A20-8DFC-2E0E8DFF2CED","2512EF1C-401B-4222-9869-A770D4C5FAC7","2DB7ED73-8E89-457A-A395-FAC12F929C1A","56E6E4BC-FF4F-4919-91B6-C26C07C96405","Royal (Dick) School of Veterinary Science","College of Medicine & Veterinary Medicine"
"NERC","NE/I018735/1","University of Edinburgh","Sch of Geosciences","Training Grant","Ziolkowski","Anton",NA,NA,NA,NA,NA,NA,"Combining electromagnetic and seismic methods to monitor carbon dioxide sequestration","30/09/2011","29/09/2015",67307,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/I018735/1","051357B8-C6A0-48CC-A4F4-6712162D8F12","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","8BA16FD1-DB73-4B85-9971-6C4C6811EACD","School of Geosciences","College of Science and Engineering"
"NERC","NE/P015905/1","University of Edinburgh","Sch of Geosciences","Research Grant","Sinclair","Hugh",NA,NA,NA,NA,NA,NA,"Dynamic Flood Topographies in the Terai, Nepal; community perception and resilience","01/11/2016","30/08/2017",156447,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/P015905/1","A2EAB67B-740B-4E94-9819-9C6615CF532D","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","0A03A925-7AF0-4044-B7F6-7B5E9FE0BE33","School of Geosciences","College of Science and Engineering"
"STFC","ST/K006746/1","University of Edinburgh","Sch of Physics and Astronomy","Research Grant","Lawrence","Andy",NA,"http://orcid.org/0000-0002-3134-6093",NA,NA,NA,NA,"Utilizing Virtual Observatory Technology to Improve the Frequency and Coverage of Tropical Forest Monitoring (ASTROTROP)","31/08/2013","29/02/2016",139980,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=ST/K006746/1","51F66CD8-C87F-458C-8E0E-237E31FF2EAE","D7F4F462-0518-4784-908A-D12633C139B3","2DB7ED73-8E89-457A-A395-FAC12F929C1A","749BBC55-AB39-4F5B-86BD-9FA64360E5DE","School of Physics and Astronomy","College of Science and Engineering"
"EPSRC","EP/K041053/2","University of Edinburgh","Sch of Mathematics","Research Grant","Lindgren","Finn","Kristian","http://orcid.org/0000-0002-5833-2011",NA,NA,NA,NA,"Modelling spatial distribution and change from wildlife survey data","31/08/2016","30/03/2017",55133,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/K041053/2","587AA8E5-98B0-4227-8E19-DB474F31420D","798CB33D-C79E-4578-83F2-72606407192C","2DB7ED73-8E89-457A-A395-FAC12F929C1A","73C6F34F-1932-4CF2-A258-BD9F20697E01","School of Mathematics","College of Science and Engineering"
"ESRC","ES/L000946/1","University of Edinburgh","Business School","Research Grant","Kowalski","Tina","Helen","http://orcid.org/0000-0001-5094-4366",NA,NA,NA,NA,"Sustaining employee well-being in the 21st Century","01/11/2013","17/01/2016",29090,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=ES/L000946/1","D2FDBCBF-3BED-48C4-9C0C-AEC33D60572B","924BE15C-91F2-4AAD-941A-3F338324B6AE","2DB7ED73-8E89-457A-A395-FAC12F929C1A","76B10AD7-8A4D-4A6E-B3F4-37DE7F186DA6","Business School","College of Arts, Humanities & Social Sciences"
"BBSRC","BB/N007492/1","University of Edinburgh","The Roslin Institute","Research Grant","Morrison","Liam","James","http://orcid.org/0000-0002-8304-9066",NA,NA,NA,NA,"A new drug discovery pipeline for animal African trypanosomiasis","30/06/2016","31/12/2019",299815,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/N007492/1","173577B4-8ED8-49B1-A870-93D8DFAC0451","2512EF1C-401B-4222-9869-A770D4C5FAC7","2DB7ED73-8E89-457A-A395-FAC12F929C1A","56E6E4BC-FF4F-4919-91B6-C26C07C96405","Royal (Dick) School of Veterinary Science","College of Medicine & Veterinary Medicine"
"BBSRC","BB/L024004/1","University of Edinburgh","Sch of Biological Sciences","Research Grant","Gharbi","Karim",NA,NA,NA,NA,NA,NA,"Identifying molecular determinants of drug susceptibility in salmon lice (Lepeophtheirus salmonis)","31/10/2014","30/10/2017",20335,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/L024004/1","E093E016-548E-47E1-9810-4EA2DCA47CD7","2512EF1C-401B-4222-9869-A770D4C5FAC7","2DB7ED73-8E89-457A-A395-FAC12F929C1A","CE83DB9B-CFC2-450B-B772-38BF64F1B3BB","School of Biological Sciences","College of Science and Engineering"
